driver_id,name,phone,dl_number,aadhaar,joining_date,home_hub
DRV-001,Advik Maharaj,+91 8361473242,HR16 20128663605,6515 3369 7284,2019-11-10,Ambala
DRV-002,Dalaja Chahal,+91 8665427892,PB03 20137961578,4784 9318 5377,2022-12-20,Ludhiana
DRV-003,Alexander Chander,+91 7978386931,HR16 20098491822,6412 8935 6654,2019-08-16,Gurgaon
DRV-004,Hardik Saini,+91 8780759441,UP15 20154165061,7713 4912 7274,2019-08-22,Lucknow
DRV-005,Aarush Dutta,+91 8346015720,PB11 20207395997,5162 3492 9115,2023-12-09,Ludhiana
DRV-006,Liam Dugal,+91 8933953515,HR04 20192672884,6308 8486 1251,2019-08-05,Gurgaon
DRV-007,Charan Chanda,+91 9145530232,RJ03 20205446344,4773 7512 2315,2021-01-27,Jaipur
DRV-008,Orinder Lalla,+91 9815879942,UP13 20159186400,9146 9864 1588,2024-12-02,Lucknow
DRV-009,David Radhakrishnan,+91 9242647667,DL08 20078280833,2806 2646 8269,2018-05-14,Delhi
DRV-010,Pratyush Handa,+91 9960313794,RJ02 20151941524,4403 6873 7141,2023-12-30,Jaipur
DRV-011,Ishaan Mann,+91 8740564008,UP06 20103937176,2646 7267 4945,2026-07-10,Kanpur
DRV-012,Chandresh Rai,+91 7468940433,UK15 20138710313,4091 1153 8622,2020-02-27,Rudrapur
DRV-013,Finn Prabhakar,+91 7517619681,CH15 20166018975,7234 7951 5097,2020-11-07,Chandigarh
DRV-014,Balendra Garg,+91 7652760422,UK16 20084979651,5124 6881 5847,2022-06-18,Rudrapur
DRV-015,Finn Shere,+91 9719896275,CH13 20131135861,6636 1803 9138,2021-01-26,Chandigarh
DRV-016,Nicholas Bhalla,+91 7754089569,CH12 20124189885,7086 5106 3240,2019-09-19,Chandigarh
DRV-017,Nakul Rattan,+91 9117915167,DL10 20191559763,6747 6977 3153,2020-01-25,Delhi
DRV-018,Nakul Kala,+91 8070564460,DL06 20113217273,8443 9837 6994,2023-07-22,Delhi
DRV-019,Veer Dhar,+91 7893031567,HR09 20205951651,8115 6549 2886,2020-01-15,Ambala
DRV-020,Lekha Sangha,+91 7461239571,UK13 20227136687,2739 7464 1228,2025-09-26,Rudrapur
